,Quarter,Year,District,Price (billion VND),Area (m2),Property Type,Floors,Bathrooms,Entrance (m2),Bedrooms,Living Rooms,Law Document
142,2,2023,thanh tri,3.114,127.0,căn hộ chung cư,25.0,3.0,,4.0,1.0,Yes
143,2,2023,cau giay,5.78,86.0,căn hộ chung cư,29.0,2.0,,3.0,1.0,Yes
144,2,2023,thanh tri,3.2,127.0,căn hộ chung cư,25.0,3.0,,4.0,1.0,Yes
145,2,2023,ha dong,1.78,70.0,căn hộ chung cư,,,,,,Not provided
146,2,2023,thanh tri,1.0,127.0,căn hộ chung cư,,3.0,200.0,4.0,1.0,Yes
147,2,2023,gia lam,1.6,62.3,căn hộ chung cư,,1.0,10.0,2.0,1.0,Yes
148,2,2023,north tu liem,1.25,49.0,căn hộ chung cư,15.0,1.0,,1.0,1.0,Yes
149,2,2023,gia lam,0.9,31.2,căn hộ chung cư,,2.0,,2.0,2.0,Yes
150,2,2023,gia lam,2.56,71.2,căn hộ chung cư,,2.0,,2.0,1.0,Yes
151,2,2023,dong da,1.52,50.0,căn hộ chung cư,3.0,1.0,5.0,2.0,1.0,Yes
152,2,2023,gia lam,1.62,60.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
153,2,2023,thanh xuan,2.5,55.0,căn hộ chung cư,,1.0,10.0,2.0,1.0,Yes
154,2,2023,gia lam,0.92,31.2,căn hộ chung cư,,2.0,,2.0,1.0,Yes
155,2,2023,cau giay,0.158,44.0,căn hộ chung cư,2.0,1.0,,2.0,1.0,Yes
156,2,2023,cau giay,1.75,55.0,căn hộ chung cư,6.0,1.0,,2.0,1.0,Yes
157,2,2023,south tu liem,2.65,86.2,căn hộ chung cư,7.0,2.0,,2.0,,Yes
158,2,2023,south tu liem,1.15,33.0,căn hộ chung cư,,1.0,,1.0,1.0,Not provided
159,2,2023,hoai duc,3.765,95.0,căn hộ chung cư,3.0,2.0,60.0,3.0,1.0,Yes
160,2,2023,dong da,4.3,134.0,căn hộ chung cư,8.0,2.0,,3.0,1.0,Yes
161,2,2023,cau giay,3.4,90.0,căn hộ chung cư,16.0,2.0,,3.0,,Yes
162,2,2023,hoang mai,0.33,135.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
163,2,2023,dong da,2.58,70.0,căn hộ chung cư,2.0,1.0,,3.0,1.0,Yes
164,2,2023,ba dinh,2.45,78.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
165,2,2023,cau giay,4.7,100.0,căn hộ chung cư,6.0,2.0,,3.0,1.0,Yes
166,2,2023,cau giay,4.98,133.0,căn hộ chung cư,6.0,2.0,,3.0,,Yes
167,2,2023,thanh tri,3.59,141.0,căn hộ chung cư,25.0,3.0,,4.0,1.0,Yes
168,2,2023,thanh tri,2.93,107.0,căn hộ chung cư,25.0,2.0,,3.0,1.0,Yes
