,Quarter,Year,District,Price (billion VND),Area (m2),Property Type,Floors,Bathrooms,Entrance (m2),Bedrooms,Living Rooms,Law Document
4212,1,2021,dong da,0.95,45.0,căn hộ chung cư,,,,,,Yes
4213,1,2021,tay ho,4.5,83.0,căn hộ chung cư,,2.0,,2.0,,Not provided
4214,1,2021,north tu liem,0.4,100.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4215,1,2021,long bien,2.4,60.0,căn hộ chung cư,,,,,,Not provided
4216,1,2021,cau giay,3.25,75.0,căn hộ chung cư,,2.0,,2.0,1.0,Not provided
4217,1,2021,long bien,1.72,97.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4218,1,2021,ba dinh,1.6,40.0,căn hộ chung cư,4.0,,,,,Yes
4219,1,2021,cau giay,4.0,98.0,căn hộ chung cư,,2.0,,3.0,,Yes
4220,1,2021,south tu liem,4.3,133.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4221,1,2021,dong da,1.6,40.0,căn hộ chung cư,,1.0,,1.0,1.0,Not provided
4222,1,2021,hoang mai,2.2,75.0,căn hộ chung cư,16.0,2.0,,3.0,1.0,Yes
4223,1,2021,north tu liem,3.1,76.0,căn hộ chung cư,,2.0,,2.0,,Not provided
4224,1,2021,north tu liem,0.34,83.0,căn hộ chung cư,,2.0,,3.0,,Not provided
4225,1,2021,north tu liem,2.95,83.0,căn hộ chung cư,,2.0,,3.0,1.0,Not provided
4226,1,2021,north tu liem,3.6,78.0,căn hộ chung cư,,2.0,,2.0,,Not provided
4227,1,2021,cau giay,0.59,25.0,căn hộ chung cư,7.0,1.0,2.0,,,Yes
4228,1,2021,dong da,0.95,45.0,căn hộ chung cư,,,,,,Yes
4229,1,2021,long bien,1.24,69.0,căn hộ chung cư,,1.0,,2.0,1.0,Yes
4230,1,2021,thanh xuan,4.24,98.22,căn hộ chung cư,8.0,2.0,40.0,3.0,1.0,Yes
4231,1,2021,cau giay,2.35,116.0,căn hộ chung cư,,2.0,,3.0,,Not provided
4232,1,2021,long bien,0.94,48.0,căn hộ chung cư,,2.0,,2.0,1.0,Not provided
4233,1,2021,cau giay,4.9,96.0,căn hộ chung cư,10.0,2.0,,3.0,1.0,Yes
4234,1,2021,south tu liem,2.1,63.0,căn hộ chung cư,31.0,1.0,40.0,2.0,2.0,Yes
4235,1,2021,thanh xuan,4.3,150.0,căn hộ chung cư,,2.0,,3.0,1.0,Not provided
4236,1,2021,cau giay,3.6,88.0,căn hộ chung cư,,2.0,,3.0,,Not provided
4237,1,2021,cau giay,3.25,75.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4238,1,2021,north tu liem,3.27,121.0,căn hộ chung cư,,2.0,,3.0,1.0,Not provided
4239,1,2021,thanh xuan,2.468,82.0,căn hộ chung cư,16.0,2.0,17.5,3.0,1.0,Yes
4240,1,2021,cau giay,4.3,85.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4241,1,2021,cau giay,3.8,71.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4242,1,2021,ba dinh,1.6,40.0,căn hộ chung cư,5.0,1.0,,1.0,1.0,Yes
4243,1,2021,north tu liem,3.5,87.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4244,1,2021,tay ho,0.73,52.0,căn hộ chung cư,,1.0,3.0,,2.0,Yes
4245,1,2021,north tu liem,0.6,35.0,căn hộ chung cư,,1.0,3.0,1.0,1.0,Yes
4246,1,2021,hai ba trung,0.72,35.0,căn hộ chung cư,7.0,1.0,4.0,1.0,1.0,Yes
4247,1,2021,tay ho,5.1,108.0,căn hộ chung cư,,2.0,,3.0,,Not provided
4248,1,2021,north tu liem,3.0,86.0,căn hộ chung cư,,,,2.0,,Not provided
4249,1,2021,tay ho,3.65,87.0,căn hộ chung cư,,2.0,,2.0,,Not provided
4250,1,2021,cau giay,3.2,76.5,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4251,1,2021,cau giay,1.7,45.0,căn hộ chung cư,,1.0,,2.0,1.0,Not provided
4252,1,2021,gia lam,4.275,75.7,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4253,4,2020,north tu liem,3.5,87.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4254,4,2020,north tu liem,2.4,103.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4255,4,2020,tay ho,5.1,108.0,căn hộ chung cư,,2.0,,3.0,,Not provided
4256,4,2020,tay ho,3.5,98.0,căn hộ chung cư,,,,,,Not provided
4257,4,2020,dong da,1.4,35.0,căn hộ chung cư,,,,,,Not provided
4258,4,2020,thanh tri,2.5,75.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4259,4,2020,hoang mai,1.9,60.0,căn hộ chung cư,1.0,2.0,40.0,2.0,2.0,Yes
4260,4,2020,hoang mai,1.8,80.0,căn hộ chung cư,1.0,2.0,60.0,3.0,1.0,Yes
4261,4,2020,hoang mai,0.65,70.0,căn hộ chung cư,1.0,2.0,40.0,2.0,2.0,Yes
4262,4,2020,dong da,1.4,32.0,căn hộ chung cư,,,,,,Not provided
4263,4,2020,cau giay,3.3,117.0,căn hộ chung cư,3.0,2.0,,,1.0,Not provided
4264,4,2020,south tu liem,1.685,90.0,căn hộ chung cư,10.0,2.0,,3.0,1.0,Yes
4265,4,2020,tay ho,4.9,76.0,căn hộ chung cư,,,,,,Not provided
4266,4,2020,cau giay,3.6,88.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4267,4,2020,north tu liem,3.4,84.0,căn hộ chung cư,,,,,,Not provided
4268,4,2020,ha dong,1.2,62.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4269,4,2020,hoang mai,1.69,58.0,căn hộ chung cư,,2.0,,2.0,,Yes
4270,4,2020,long bien,1.65,61.0,căn hộ chung cư,,1.0,,2.0,1.0,Yes
4271,4,2020,cau giay,3.5,88.0,căn hộ chung cư,,2.0,,3.0,,Not provided
4272,4,2020,cau giay,3.25,75.0,căn hộ chung cư,,2.0,,2.0,,Not provided
4273,4,2020,hoang mai,1.8,75.6,căn hộ chung cư,,2.0,,2.0,,Not provided
4274,4,2020,gia lam,1.8,42.0,căn hộ chung cư,,,,,,Not provided
4275,4,2020,long bien,1.24,69.0,căn hộ chung cư,,1.0,,2.0,1.0,Yes
4276,4,2020,hoang mai,1.55,86.0,căn hộ chung cư,1.0,2.0,25.0,3.0,1.0,Yes
4277,4,2020,chuong my,0.62,48.86,căn hộ chung cư,12.0,1.0,200.0,2.0,2.0,Yes
4278,4,2020,north tu liem,3.5,86.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4279,4,2020,cau giay,3.5,88.0,căn hộ chung cư,,2.0,,2.0,,Not provided
4280,4,2020,north tu liem,3.6,112.0,căn hộ chung cư,,,,3.0,,Not provided
4281,4,2020,dong da,0.42,33.0,căn hộ chung cư,,,,,,Not provided
4282,4,2020,tay ho,3.65,87.0,căn hộ chung cư,,2.0,,2.0,1.0,Not provided
4283,4,2020,long bien,1.0,70.0,căn hộ chung cư,,,,,,Not provided
4284,4,2020,cau giay,3.5,88.0,căn hộ chung cư,,2.0,,3.0,1.0,Not provided
4285,4,2020,cau giay,4.5,95.0,căn hộ chung cư,,2.0,,3.0,,Not provided
4286,4,2020,dong da,1.85,65.0,căn hộ chung cư,,,,,,Yes
4287,4,2020,south tu liem,1.45,43.2,căn hộ chung cư,33.0,1.0,,1.0,1.0,Yes
4288,4,2020,north tu liem,3.8,79.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4289,4,2020,south tu liem,4.659,161.8,căn hộ chung cư,40.0,3.0,,4.0,1.0,Yes
4290,4,2020,long bien,1.62,77.0,căn hộ chung cư,,2.0,,3.0,1.0,Not provided
4291,4,2020,tay ho,5.6,108.0,căn hộ chung cư,25.0,2.0,,3.0,1.0,Not provided
4292,4,2020,north tu liem,1.0,70.0,căn hộ chung cư,,,,,,Not provided
4293,4,2020,tay ho,3.3,83.0,căn hộ chung cư,,2.0,,2.0,,Not provided
4294,4,2020,long bien,2.7,80.0,căn hộ chung cư,8.0,2.0,,2.0,1.0,Yes
4295,4,2020,cau giay,3.5,89.0,căn hộ chung cư,,2.0,,2.0,1.0,Not provided
4296,4,2020,thanh xuan,3.2,137.0,căn hộ chung cư,,2.0,,3.0,1.0,Not provided
4297,4,2020,long bien,1.65,80.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4298,4,2020,north tu liem,0.68,50.0,căn hộ chung cư,,,,,,Not provided
4299,4,2020,thanh xuan,2.43,81.0,căn hộ chung cư,,,,,,Yes
4300,4,2020,long bien,2.7,100.0,căn hộ chung cư,14.0,2.0,,3.0,1.0,Yes
4301,4,2020,ha dong,0.9,111.0,căn hộ chung cư,1.0,1.0,,,,Yes
4302,4,2020,long bien,2.7,60.0,căn hộ chung cư,8.0,2.0,,2.0,1.0,Yes
4303,4,2020,long bien,2.3,60.0,căn hộ chung cư,,2.0,6.0,2.0,1.0,Yes
4304,4,2020,north tu liem,3.1,83.0,căn hộ chung cư,,,,,,Not provided
4305,4,2020,hoang mai,2.45,103.0,căn hộ chung cư,,2.0,,2.0,,Yes
4306,4,2020,north tu liem,0.28,122.0,căn hộ chung cư,,2.0,,3.0,3.0,Yes
4307,4,2020,south tu liem,4.147,128.9,căn hộ chung cư,40.0,2.0,,3.0,1.0,Yes
4308,4,2020,long bien,2.281,92.0,căn hộ chung cư,22.0,2.0,40.0,3.0,1.0,Yes
4309,4,2020,cau giay,3.8,93.6,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4310,4,2020,dong da,1.9,77.2,căn hộ chung cư,1.0,,,2.0,,Yes
4311,4,2020,ha dong,1.8,74.0,căn hộ chung cư,45.0,2.0,60.0,2.0,1.0,Yes
4312,4,2020,north tu liem,0.25,122.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4313,4,2020,dong da,1.75,55.0,căn hộ chung cư,3.0,,,,,Yes
4314,4,2020,hai ba trung,6.5,115.0,căn hộ chung cư,,,,,,Not provided
4315,4,2020,hoang mai,1.5,70.0,căn hộ chung cư,10.0,2.0,12.5,2.0,1.0,Yes
4316,4,2020,cau giay,3.35,74.5,căn hộ chung cư,,2.0,,2.0,1.0,Not provided
4317,4,2020,tay ho,3.5,75.0,căn hộ chung cư,10.0,1.0,,1.0,1.0,Yes
4318,4,2020,south tu liem,0.29,113.7,căn hộ chung cư,12.0,2.0,25.0,3.0,1.0,Yes
4319,4,2020,cau giay,3.5,88.0,căn hộ chung cư,,2.0,,3.0,1.0,Not provided
4320,4,2020,cau giay,6.2,143.0,căn hộ chung cư,,2.0,,3.0,1.0,Not provided
4321,4,2020,south tu liem,3.242,104.0,căn hộ chung cư,6.0,2.0,60.0,3.0,3.0,Yes
4322,4,2020,south tu liem,4.147,128.9,căn hộ chung cư,40.0,2.0,,3.0,1.0,Yes
4323,4,2020,hoang mai,2.3,76.0,căn hộ chung cư,30.0,2.0,,2.0,1.0,Yes
4324,4,2020,thanh xuan,2.75,80.0,căn hộ chung cư,1.0,2.0,8.0,2.0,1.0,Yes
4325,4,2020,dong da,1.2,28.0,căn hộ chung cư,,,,,,Not provided
4326,4,2020,cau giay,3.6,117.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4327,4,2020,hoai duc,1.25,75.0,căn hộ chung cư,,,,,,Not provided
4328,4,2020,thanh xuan,3.8,120.0,căn hộ chung cư,,,,,,Not provided
4329,4,2020,long bien,1.95,76.0,căn hộ chung cư,14.0,2.0,,2.0,1.0,Yes
4330,4,2020,hoang mai,5.3,118.2,căn hộ chung cư,10.0,2.0,,3.0,1.0,Yes
4331,4,2020,ba dinh,1.85,72.0,căn hộ chung cư,,3.0,,7.0,,Yes
4332,4,2020,cau giay,4.2,104.0,căn hộ chung cư,,2.0,,3.0,1.0,Not provided
4333,4,2020,long bien,0.37,100.0,căn hộ chung cư,8.0,2.0,,3.0,1.0,Yes
4334,4,2020,cau giay,3.8,95.0,căn hộ chung cư,,2.0,,3.0,,Not provided
4335,4,2020,thanh xuan,4.3,97.0,căn hộ chung cư,36.0,2.0,,3.0,1.0,Yes
4336,4,2020,long bien,2.281,92.0,căn hộ chung cư,16.0,2.0,40.0,3.0,1.0,Yes
4337,4,2020,ba dinh,1.8,60.0,căn hộ chung cư,3.0,,,,,Yes
4338,4,2020,north tu liem,3.1,83.0,căn hộ chung cư,,2.0,,3.0,1.0,Not provided
4339,4,2020,long bien,1.95,76.0,căn hộ chung cư,15.0,2.0,,2.0,1.0,Yes
4340,4,2020,thanh xuan,2.5,86.0,căn hộ chung cư,,,,,,Not provided
4341,4,2020,thanh xuan,3.1,98.0,căn hộ chung cư,,,,,,Not provided
4342,4,2020,long bien,1.8,89.4,căn hộ chung cư,10.0,2.0,,3.0,1.0,Yes
4343,4,2020,cau giay,1.6,45.0,căn hộ chung cư,,1.0,,2.0,1.0,Not provided
4344,4,2020,south tu liem,4.21,128.9,căn hộ chung cư,40.0,2.0,,3.0,1.0,Yes
4345,4,2020,north tu liem,0.28,122.0,căn hộ chung cư,,2.0,,3.0,1.0,Not provided
4346,4,2020,tay ho,5.3,109.0,căn hộ chung cư,25.0,2.0,,3.0,,Not provided
4347,4,2020,north tu liem,2.85,83.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4348,4,2020,tay ho,2.7,60.0,căn hộ chung cư,,1.0,,2.0,,Not provided
4349,4,2020,long bien,0.35,100.0,căn hộ chung cư,8.0,2.0,,3.0,1.0,Yes
4350,4,2020,south tu liem,0.43,200.0,căn hộ chung cư,,,,4.0,,Yes
4351,4,2020,long bien,0.85,84.0,căn hộ chung cư,8.0,2.0,,3.0,1.0,Yes
4352,4,2020,thanh xuan,2.9,70.0,căn hộ chung cư,,,,,,Yes
4353,4,2020,south tu liem,3.91,128.9,căn hộ chung cư,40.0,2.0,,3.0,1.0,Yes
4354,4,2020,north tu liem,2.8,80.0,căn hộ chung cư,,,,,,Not provided
4355,4,2020,hoai duc,1.25,75.1,căn hộ chung cư,,2.0,,2.0,,Not provided
4356,4,2020,cau giay,3.45,89.0,căn hộ chung cư,,,,,,Not provided
4357,4,2020,south tu liem,0.29,98.0,căn hộ chung cư,,,,,,Not provided
4358,4,2020,dong anh,0.13,50.0,căn hộ chung cư,,,,,,Not provided
4359,4,2020,south tu liem,0.24,160.0,căn hộ chung cư,,3.0,,4.0,,Yes
4360,4,2020,ha dong,1.45,67.0,căn hộ chung cư,,,,,,Not provided
4361,4,2020,north tu liem,0.16,57.0,căn hộ chung cư,,,,,,Not provided
4362,4,2020,hoai duc,0.14,,căn hộ chung cư,,,,,,Not provided
4363,4,2020,dong anh,0.13,60.0,căn hộ chung cư,,,,,,Not provided
4364,4,2020,north tu liem,0.26,93.5,căn hộ chung cư,15.0,2.0,,3.0,1.0,Yes
4365,4,2020,south tu liem,3.2,99.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4366,4,2020,cau giay,3.5,117.0,căn hộ chung cư,6.0,2.0,,3.0,1.0,Yes
4367,4,2020,north tu liem,3.0,77.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4368,4,2020,south tu liem,2.65,77.7,căn hộ chung cư,7.0,2.0,,2.0,1.0,Yes
4369,4,2020,north tu liem,1.85,65.4,căn hộ chung cư,8.0,2.0,,2.0,1.0,Yes
4370,4,2020,north tu liem,1.8,66.8,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4371,4,2020,north tu liem,2.1,72.0,căn hộ chung cư,,2.0,,2.0,,Yes
4372,4,2020,south tu liem,4.147,128.9,căn hộ chung cư,40.0,2.0,,3.0,1.0,Yes
4373,4,2020,ba dinh,9.2,120.0,căn hộ chung cư,,,,,,Yes
4374,4,2020,cau giay,0.5,85.0,căn hộ chung cư,37.0,2.0,,2.0,1.0,Yes
4375,4,2020,cau giay,0.5,85.0,căn hộ chung cư,37.0,2.0,,3.0,1.0,Yes
4376,4,2020,south tu liem,5.8,301.0,căn hộ chung cư,8.0,4.0,,4.0,2.0,Yes
4377,4,2020,tay ho,4.5,83.0,căn hộ chung cư,,2.0,,2.0,,Not provided
4378,4,2020,tay ho,3.5,87.0,căn hộ chung cư,,2.0,,2.0,,Not provided
4379,4,2020,cau giay,4.354,100.0,căn hộ chung cư,5.0,2.0,,3.0,1.0,Yes
4380,4,2020,long bien,0.25,103.0,căn hộ chung cư,12.0,2.0,40.0,3.0,1.0,Yes
4381,4,2020,north tu liem,0.25,121.0,căn hộ chung cư,,2.0,,3.0,1.0,Not provided
4382,4,2020,ha dong,0.1,85.0,căn hộ chung cư,,2.0,,3.0,1.0,Not provided
4383,4,2020,gia lam,1.35,25.7,căn hộ chung cư,,1.0,,1.0,1.0,Yes
4384,4,2020,long bien,1.33,70.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4385,4,2020,south tu liem,4.212,128.9,căn hộ chung cư,40.0,2.0,,3.0,1.0,Yes
4386,4,2020,north tu liem,3.1,75.0,căn hộ chung cư,,2.0,,2.0,,Yes
4387,4,2020,thanh xuan,5.8,125.0,căn hộ chung cư,,,,,,Not provided
4388,4,2020,cau giay,4.0,96.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4389,4,2020,cau giay,1.2,47.0,căn hộ chung cư,1.0,1.0,,2.0,1.0,Not provided
4390,4,2020,south tu liem,4.0,105.0,căn hộ chung cư,,2.0,,3.0,,Yes
4391,4,2020,south tu liem,0.42,224.0,căn hộ chung cư,,,,4.0,,Yes
4392,4,2020,tay ho,3.1,60.0,căn hộ chung cư,,,4.0,,,Yes
4393,4,2020,long bien,0.96,48.0,căn hộ chung cư,1.0,2.0,25.0,2.0,1.0,Yes
4394,4,2020,hoai duc,1.3,76.0,căn hộ chung cư,,2.0,,2.0,,Not provided
4395,4,2020,north tu liem,2.45,91.0,căn hộ chung cư,,2.0,,3.0,1.0,Not provided
4396,4,2020,north tu liem,0.2,66.0,căn hộ chung cư,,2.0,,,1.0,Not provided
4397,4,2020,thanh xuan,1.2,70.0,căn hộ chung cư,,2.0,,2.0,,Not provided
4398,4,2020,gia lam,1.0,30.0,căn hộ chung cư,,1.0,12.5,2.0,1.0,Yes
4399,4,2020,dong da,1.2,40.0,căn hộ chung cư,1.0,,,,,Yes
4400,4,2020,thanh xuan,0.35,68.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4401,4,2020,north tu liem,3.7,90.45,căn hộ chung cư,,2.0,,3.0,,Not provided
4402,4,2020,thanh xuan,2.55,71.0,căn hộ chung cư,1.0,2.0,2.0,2.0,1.0,Yes
4403,4,2020,long bien,0.24,92.0,căn hộ chung cư,16.0,2.0,,3.0,1.0,Yes
4404,4,2020,dong da,1.5,45.0,căn hộ chung cư,1.0,,,,,Yes
4405,4,2020,south tu liem,4.147,128.9,căn hộ chung cư,40.0,2.0,,3.0,1.0,Yes
4406,4,2020,thanh xuan,2.6,74.0,căn hộ chung cư,1.0,2.0,8.0,2.0,1.0,Yes
4407,4,2020,thanh xuan,3.3,99.0,căn hộ chung cư,,,,,,Not provided
4408,4,2020,thanh xuan,4.2,118.0,căn hộ chung cư,1.0,2.0,8.0,3.0,1.0,Yes
4409,4,2020,north tu liem,3.3,81.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4410,4,2020,thanh xuan,4.6,130.0,căn hộ chung cư,,,,,,Not provided
4411,4,2020,thanh xuan,3.7,82.0,căn hộ chung cư,6.0,2.0,,3.0,1.0,Not provided
4412,4,2020,cau giay,3.15,81.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4413,4,2020,hoang mai,2.7,103.0,căn hộ chung cư,,2.0,,2.0,,Not provided
4414,4,2020,north tu liem,3.2,97.6,căn hộ chung cư,,2.0,,3.0,,Not provided
4415,4,2020,gia lam,0.95,70.0,căn hộ chung cư,,2.0,,2.0,,Not provided
4416,4,2020,thanh xuan,2.99,88.0,căn hộ chung cư,,,,,,Not provided
4417,4,2020,long bien,2.868,112.5,căn hộ chung cư,1.0,2.0,,3.0,1.0,Yes
4418,4,2020,long bien,1.7,93.0,căn hộ chung cư,,2.0,,3.0,1.0,Not provided
4419,4,2020,long bien,2.106,72.0,căn hộ chung cư,,2.0,,2.0,1.0,Not provided
4420,4,2020,long bien,2.856,112.5,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4421,4,2020,long bien,2.154,86.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4422,4,2020,gia lam,2.599,58.21,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4423,4,2020,north tu liem,3.3,121.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4424,4,2020,north tu liem,2.8,80.0,căn hộ chung cư,,,,,,Not provided
4425,4,2020,cau giay,3.15,81.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4426,4,2020,long bien,2.317,72.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4427,4,2020,long bien,2.301,92.0,căn hộ chung cư,,2.0,,3.0,1.0,Not provided
4428,4,2020,long bien,2.911,112.5,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4429,4,2020,long bien,2.106,71.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4430,4,2020,thanh xuan,5.0,114.0,căn hộ chung cư,,,,,,Not provided
4431,4,2020,cau giay,2.4,89.0,căn hộ chung cư,,2.0,,3.0,,Not provided
4432,4,2020,tay ho,3.65,87.0,căn hộ chung cư,,2.0,,2.0,,Not provided
4433,4,2020,long bien,2.2,86.0,căn hộ chung cư,,,,2.0,,Not provided
4434,4,2020,dong da,1.95,,căn hộ chung cư,,1.0,,2.0,1.0,Not provided
4435,4,2020,cau giay,4.5,86.0,căn hộ chung cư,,2.0,,2.0,,Yes
4436,4,2020,cau giay,3.5,103.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4437,4,2020,long bien,1.43,82.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4438,4,2020,long bien,2.59,103.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4439,4,2020,long bien,2.282,83.0,căn hộ chung cư,,,,,,Not provided
4440,4,2020,thanh xuan,0.43,106.0,căn hộ chung cư,,2.0,,3.0,1.0,Not provided
4441,4,2020,south tu liem,4.0,84.0,căn hộ chung cư,10.0,2.0,60.0,2.0,1.0,Yes
4442,4,2020,north tu liem,3.2,87.0,căn hộ chung cư,,,,,,Not provided
4443,4,2020,cau giay,0.38,107.0,căn hộ chung cư,32.0,2.0,25.0,3.0,1.0,Yes
4444,4,2020,south tu liem,4.5,87.0,căn hộ chung cư,,2.0,,3.0,,Yes
4445,4,2020,north tu liem,0.68,55.0,căn hộ chung cư,,1.0,,2.0,,Not provided
4446,4,2020,north tu liem,3.25,81.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4447,4,2020,thanh xuan,0.43,108.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4448,4,2020,gia lam,3.285,63.45,căn hộ chung cư,1.0,2.0,,2.0,1.0,Yes
4449,4,2020,long bien,2.5,72.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4450,4,2020,long bien,2.595,103.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4451,4,2020,long bien,2.952,102.5,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4452,4,2020,cau giay,3.3,81.0,căn hộ chung cư,9.0,2.0,17.5,2.0,1.0,Yes
4453,4,2020,gia lam,3.5,62.52,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4454,4,2020,ha dong,1.5,65.0,căn hộ chung cư,1.0,2.0,8.0,1.0,1.0,Yes
4455,4,2020,north tu liem,3.7,96.0,căn hộ chung cư,,,,,,Not provided
4456,4,2020,tay ho,1.9,70.0,căn hộ chung cư,21.0,2.0,8.0,2.0,2.0,Yes
4457,4,2020,north tu liem,30.0,100.0,căn hộ chung cư,,,,,,Not provided
4458,4,2020,tay ho,1.9,70.0,căn hộ chung cư,20.0,2.0,10.0,2.0,1.0,Yes
4459,4,2020,thanh xuan,0.43,125.0,căn hộ chung cư,,,,,,Not provided
4460,4,2020,long bien,0.25,103.0,căn hộ chung cư,8.0,2.0,25.0,3.0,1.0,Yes
4461,4,2020,long bien,1.35,74.6,căn hộ chung cư,12.0,2.0,12.5,2.0,1.0,Yes
4462,4,2020,gia lam,3.329,59.89,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4463,4,2020,hai ba trung,0.85,50.0,căn hộ chung cư,,1.0,,1.0,,Not provided
4464,4,2020,long bien,1.35,74.6,căn hộ chung cư,15.0,1.0,,2.0,1.0,Yes
4465,4,2020,north tu liem,0.29,104.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
4466,4,2020,cau giay,3.7,94.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4467,4,2020,long bien,2.218,86.0,căn hộ chung cư,,2.0,,2.0,2.0,Yes
4468,4,2020,cau giay,3.685,117.0,căn hộ chung cư,,,,,,Not provided
4469,4,2020,long bien,2.0,86.0,căn hộ chung cư,,,,,,Not provided
4470,4,2020,south tu liem,2.35,80.6,căn hộ chung cư,,,,,,Not provided
4471,4,2020,thanh xuan,4.85,125.0,căn hộ chung cư,,,,,,Not provided
4472,4,2020,tay ho,0.9,78.0,căn hộ chung cư,,,,,,Not provided
4473,4,2020,south tu liem,0.9,31.5,căn hộ chung cư,,,,,,Not provided
4474,4,2020,long bien,1.52,73.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
4475,4,2020,ha dong,2.0,96.3,căn hộ chung cư,6.0,2.0,12.5,3.0,1.0,Yes
4476,4,2020,ba dinh,3.65,80.0,căn hộ chung cư,4.0,2.0,4.0,2.0,1.0,Yes
4477,4,2020,long bien,2.299,83.0,căn hộ chung cư,,,,,,Not provided
4478,4,2020,ha dong,1.5,64.3,căn hộ chung cư,,2.0,25.0,2.0,1.0,Yes
4479,4,2020,hoang mai,1.58,52.0,căn hộ chung cư,25.0,2.0,25.0,2.0,1.0,Yes
4480,4,2020,thanh xuan,0.42,125.0,căn hộ chung cư,36.0,,,,,Yes
4481,4,2020,hai ba trung,0.84,50.0,căn hộ chung cư,,1.0,,2.0,,Not provided
4482,4,2020,cau giay,2.4,89.0,căn hộ chung cư,,,,,,Not provided
4483,4,2020,north tu liem,3.6,79.0,căn hộ chung cư,,2.0,,2.0,,Yes
4484,4,2020,long bien,2.218,92.0,căn hộ chung cư,16.0,2.0,40.0,3.0,1.0,Yes
4485,4,2020,long bien,2.254,92.0,căn hộ chung cư,,,,,,Not provided
4486,4,2020,gia lam,0.45,70.0,căn hộ chung cư,,,,,,Not provided
4487,4,2020,cau giay,4.2,104.0,căn hộ chung cư,,,,,,Not provided
4488,4,2020,cau giay,0.4,152.0,căn hộ chung cư,31.0,3.0,12.5,3.0,1.0,Yes
4489,4,2020,tay ho,0.3,99.0,căn hộ chung cư,,,,,,Not provided
4490,4,2020,south tu liem,4.723,85.88,căn hộ chung cư,,,,,,Not provided
4491,4,2020,cau giay,3.35,,căn hộ chung cư,,,,,,Not provided
4492,4,2020,cau giay,0.39,94.3,căn hộ chung cư,,2.0,,2.0,2.0,Yes
4493,4,2020,dong da,1.72,65.0,căn hộ chung cư,5.0,,,,,Yes
4494,4,2020,south tu liem,4.5,87.0,căn hộ chung cư,,2.0,,2.0,,Yes
4495,4,2020,hai ba trung,7.2,76.0,căn hộ chung cư,,,,,,Not provided
4496,4,2020,north tu liem,3.5,85.0,căn hộ chung cư,23.0,2.0,25.0,3.0,1.0,Yes
4497,4,2020,north tu liem,2.8,74.0,căn hộ chung cư,17.0,2.0,10.0,2.0,1.0,Yes
4498,4,2020,north tu liem,1.9,65.4,căn hộ chung cư,2.0,2.0,,2.0,1.0,Yes
