,Day,Month,Year,District,Price (billion VND),Area (m2),Property Type,Floors,Bathrooms,Entrance (m2),Bedrooms,Living Rooms,Law Document,Latitude,Longitude
2704,20,1,2024,,3.1,63.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes,20.9957512,105.7456707
2705,23,1,2024,,2.55,54.6,căn hộ chung cư,,1.0,,2.0,1.0,Yes,20.9957512,105.7456707
2706,21,1,2024,,2.56,54.6,căn hộ chung cư,,1.0,,2.0,1.0,Yes,20.9957512,105.7456707
2707,23,1,2024,,2.55,54.6,căn hộ chung cư,,1.0,,2.0,1.0,Yes,20.9957512,105.7456707
2708,22,1,2024,,2.5,54.6,căn hộ chung cư,,1.0,,2.0,1.0,Yes,20.9957512,105.7456707
2709,25,1,2024,,0.435,82.0,căn hộ chung cư,,2.0,,3.0,,Yes,20.9957512,105.7456707
2710,25,1,2024,hoàng mai,4.1,90.0,căn hộ chung cư,29.0,2.0,,3.0,1.0,Yes,20.985997396986864,105.84055888399197
2711,27,1,2024,,2.55,54.6,căn hộ chung cư,,1.0,,2.0,1.0,Yes,21.0088528,105.7439194
2712,26,1,2024,hà đông,1.95,70.0,căn hộ chung cư,1.0,2.0,,2.0,1.0,Yes,20.9528073,105.7850022
2713,26,1,2024,đông anh,1.65,77.0,căn hộ chung cư,,,,,,Not provided,21.0809178,105.8701316
2714,16,12,2023,hai bà trưng,3.2,75.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes,20.9985783,105.8695294
2715,18,12,2023,,7.9,209.0,căn hộ chung cư,2.0,3.0,8.0,4.0,2.0,Yes,21.047768,105.7615252
2716,19,12,2023,long biên,1.88,69.0,căn hộ chung cư,,,,,,Not provided,21.0368776,105.911551
2717,20,12,2023,,3.75,75.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes,21.00440695406719,105.73755026505125
2718,21,12,2023,thanh xuân,4.45,92.0,căn hộ chung cư,,,,,,Not provided,21.00088,105.8037575
2719,20,12,2023,cầu giấy,0.41,120.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes,21.0070457,105.8029953
2720,21,12,2023,hoài đức,3.8,93.0,căn hộ chung cư,21.0,2.0,40.0,3.0,1.0,Yes,21.006223,105.6936875
2721,22,12,2023,hoài đức,3.9,89.0,căn hộ chung cư,21.0,2.0,,3.0,1.0,Yes,21.02562682157163,105.73146380224611
2722,26,12,2023,,2.52,55.0,căn hộ chung cư,,,,,,Not provided,21.0088528,105.7439194
2723,11,1,2024,,2.12,43.0,căn hộ chung cư,,1.0,,1.0,1.0,Yes,21.0046874,105.7412839
2724,12,1,2024,,1.45,28.0,căn hộ chung cư,,,,,,Yes,21.0046874,105.7412839
2725,12,1,2024,long biên,9.5,167.0,căn hộ chung cư,20.0,2.0,40.0,3.0,1.0,Yes,21.0651992,105.8816105
2726,22,11,2023,hai bà trưng,1.95,60.0,căn hộ chung cư,1.0,1.0,,2.0,1.0,Yes,10.8019128,106.7647475
2727,22,11,2023,hai bà trưng,1.95,58.0,căn hộ chung cư,1.0,1.0,,2.0,1.0,Yes,10.8019128,106.7647475
2728,22,11,2023,hai bà trưng,1.95,60.0,căn hộ chung cư,1.0,1.0,,2.0,1.0,Yes,10.8019128,106.7647475
2729,22,11,2023,hai bà trưng,1.95,60.0,căn hộ chung cư,1.0,1.0,,2.0,1.0,Yes,10.8019128,106.7647475
2730,22,11,2023,cầu giấy,4.0,90.0,căn hộ chung cư,20.0,2.0,,2.0,1.0,Yes,10.8019128,106.7647475
2731,22,11,2023,hai bà trưng,1.95,60.0,căn hộ chung cư,1.0,1.0,,2.0,1.0,Yes,10.8019128,106.7647475
2732,22,11,2023,hoàng mai,1.69,56.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes,20.9739692,105.8216911
2733,25,11,2023,cầu giấy,4.75,98.0,căn hộ chung cư,1.0,2.0,,2.0,1.0,Not provided,21.0368231,105.7943314
2734,29,11,2023,hoài đức,1.65,80.0,căn hộ chung cư,14.0,,,,,Yes,21.0751042,105.6981912
2735,29,11,2023,thanh xuân,4.0,106.0,căn hộ chung cư,15.0,2.0,,3.0,1.0,Yes,10.8019128,106.7647475
2736,29,11,2023,thanh xuân,3.3,106.0,căn hộ chung cư,15.0,2.0,,3.0,1.0,Yes,10.8019128,106.7647475
2737,29,11,2023,hoàng mai,2.5,84.33,căn hộ chung cư,,2.0,,2.0,1.0,Not provided,20.9766875,105.8439879
2738,30,11,2023,hai bà trưng,1.85,58.0,căn hộ chung cư,1.0,1.0,,2.0,1.0,Yes,10.8019128,106.7647475
2739,1,12,2023,hà đông,2.6,68.0,căn hộ chung cư,50.0,2.0,,2.0,1.0,Yes,20.9797258,105.7874647
2740,30,11,2023,hai bà trưng,1.85,60.0,căn hộ chung cư,1.0,1.0,,2.0,1.0,Yes,10.8019128,106.7647475
2741,4,12,2023,thanh xuân,3.2,,căn hộ chung cư,16.0,2.0,,3.0,1.0,Yes,10.8019128,106.7647475
2742,4,12,2023,thanh xuân,4.0,106.0,căn hộ chung cư,15.0,2.0,,3.0,1.0,Yes,10.8019128,106.7647475
2743,27,10,2023,,0.4,156.0,căn hộ chung cư,20.0,3.0,,4.0,1.0,Yes,10.8019128,106.7647475
2744,27,10,2023,cầu giấy,4.0,90.0,căn hộ chung cư,20.0,2.0,,2.0,1.0,Yes,10.8019128,106.7647475
2745,29,10,2023,,4.35,126.0,căn hộ chung cư,11.0,2.0,25.0,3.0,1.0,Yes,21.0106758,105.7995616
2746,30,10,2023,,2.9,95.0,căn hộ chung cư,8.0,,,3.0,1.0,Yes,10.8019128,106.7647475
2747,30,10,2023,cầu giấy,4.0,90.0,căn hộ chung cư,20.0,2.0,,2.0,1.0,Yes,10.8019128,106.7647475
2748,30,10,2023,hai bà trưng,6.5,213.0,căn hộ chung cư,22.0,3.0,,4.0,1.0,Yes,10.8019128,106.7647475
2749,31,10,2023,hà đông,3.9,60.0,căn hộ chung cư,6.0,1.0,,2.0,1.0,Yes,20.96449697122935,105.7572450477295
2750,31,10,2023,,3.0,86.0,căn hộ chung cư,5.0,,,3.0,1.0,Yes,10.8019128,106.7647475
2751,31,10,2023,hoài đức,0.3,66.0,căn hộ chung cư,,,,,,Not provided,21.0372766,105.7379972
2752,30,10,2023,hoài đức,0.3,66.0,căn hộ chung cư,,2.0,60.0,2.0,1.0,Yes,21.0372766,105.7379972
2753,1,11,2023,,2.8,78.0,căn hộ chung cư,5.0,,,3.0,1.0,Yes,10.8019128,106.7647475
2754,2,11,2023,hai bà trưng,3.5,75.0,căn hộ chung cư,,2.0,8.0,2.0,1.0,Yes,20.997555082911262,105.86986747409668
2755,1,11,2023,cầu giấy,3.0,55.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes,21.0106758,105.7995616
2756,2,11,2023,,2.75,74.0,căn hộ chung cư,5.0,,,3.0,1.0,Yes,10.8019128,106.7647475
2757,3,11,2023,đống đa,1.55,70.0,căn hộ chung cư,,2.0,6.0,2.0,1.0,Yes,21.0030818,105.8299976
2758,4,11,2023,hoàng mai,3.5,96.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes,20.9885451,105.8568256
2759,6,11,2023,long biên,2.6,75.0,căn hộ chung cư,,2.0,,2.0,1.0,Not provided,10.876248,106.660338
2760,6,11,2023,cầu giấy,4.0,90.0,căn hộ chung cư,20.0,2.0,,2.0,1.0,Yes,10.8019128,106.7647475
2761,7,11,2023,cầu giấy,4.0,90.0,căn hộ chung cư,20.0,2.0,,2.0,1.0,Yes,10.8019128,106.7647475
2762,10,10,2023,hoàng mai,2.25,61.0,căn hộ chung cư,9.0,2.0,,2.0,1.0,Yes,10.8019128,106.7647475
2763,10,10,2023,hoàng mai,2.25,61.0,căn hộ chung cư,9.0,2.0,,2.0,1.0,Yes,10.8019128,106.7647475
2764,11,10,2023,cầu giấy,4.7,96.0,căn hộ chung cư,10.0,,,,1.0,Yes,10.8019128,106.7647475
2765,11,10,2023,cầu giấy,4.7,97.0,căn hộ chung cư,9.0,,,,1.0,Yes,10.8019128,106.7647475
2766,11,10,2023,cầu giấy,4.7,96.0,căn hộ chung cư,9.0,,,,1.0,Yes,10.8019128,106.7647475
2767,11,10,2023,cầu giấy,4.7,96.0,căn hộ chung cư,9.0,2.0,,2.0,1.0,Yes,10.8019128,106.7647475
2768,12,10,2023,thanh xuân,4.0,73.0,căn hộ chung cư,16.0,2.0,,2.0,1.0,Yes,10.8019128,106.7647475
2769,14,10,2023,,2.2,48.0,căn hộ chung cư,10.0,1.0,,2.0,1.0,Yes,21.0088528,105.7439194
2770,14,10,2023,,3.3,90.0,căn hộ chung cư,20.0,2.0,,3.0,1.0,Yes,10.8019128,106.7647475
2771,14,10,2023,,3.3,90.0,căn hộ chung cư,20.0,2.0,,3.0,1.0,Yes,10.8019128,106.7647475
2772,14,10,2023,,3.3,90.0,căn hộ chung cư,20.0,2.0,,3.0,1.0,Yes,10.8019128,106.7647475
2773,14,10,2023,,3.3,90.0,căn hộ chung cư,20.0,2.0,,3.0,1.0,Yes,10.8019128,106.7647475
2774,19,10,2023,thanh xuân,0.25,116.0,căn hộ chung cư,12.0,2.0,12.5,3.0,1.0,Yes,20.997929,105.7953267
2775,19,10,2023,,2.967,69.0,căn hộ chung cư,11.0,2.0,,2.0,,Yes,21.0462774,105.7882601
2776,23,10,2023,hoàng mai,0.42,110.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes,20.9618527,105.8730678
2777,21,10,2023,thanh xuân,5.0,130.0,căn hộ chung cư,,2.0,,2.0,,Yes,20.9931586,105.8057399
2778,4,10,2023,hai bà trưng,1.3,30.0,căn hộ chung cư,2.0,1.0,,2.0,1.0,Yes,10.8019128,106.7647475
2779,4,10,2023,hai bà trưng,1.3,30.0,căn hộ chung cư,2.0,1.0,,2.0,1.0,Yes,10.8019128,106.7647475
2780,4,10,2023,thanh xuân,7.0,202.0,căn hộ chung cư,,3.0,,4.0,1.0,Yes,21.005198,105.805413
2781,4,10,2023,hai bà trưng,1.3,30.0,căn hộ chung cư,2.0,1.0,,2.0,1.0,Yes,10.8019128,106.7647475
2782,4,10,2023,hai bà trưng,1.3,30.0,căn hộ chung cư,2.0,1.0,,2.0,1.0,Yes,10.8019128,106.7647475
2783,23,10,2023,,7.0,112.0,căn hộ chung cư,15.0,2.0,,3.0,1.0,Yes,21.0107301,105.7720515
2784,5,10,2023,hai bà trưng,2.79,60.0,căn hộ chung cư,1.0,2.0,,2.0,1.0,Yes,10.8019128,106.7647475
2785,4,10,2023,hai bà trưng,1.3,30.0,căn hộ chung cư,2.0,1.0,,2.0,1.0,Yes,10.8019128,106.7647475
2786,5,10,2023,hai bà trưng,2.79,60.0,căn hộ chung cư,1.0,2.0,,2.0,1.0,Yes,10.8019128,106.7647475
2787,5,10,2023,hai bà trưng,2.79,60.0,căn hộ chung cư,1.0,2.0,,2.0,1.0,Yes,10.8019128,106.7647475
2788,5,10,2023,hai bà trưng,2.79,60.0,căn hộ chung cư,1.0,2.0,,2.0,1.0,Yes,10.8019128,106.7647475
2789,5,10,2023,,4.5,156.0,căn hộ chung cư,16.0,3.0,,4.0,1.0,Yes,10.8019128,106.7647475
2790,5,10,2023,,4.5,156.0,căn hộ chung cư,16.0,3.0,,4.0,1.0,Yes,10.8019128,106.7647475
2791,5,10,2023,thanh xuân,6.0,104.0,căn hộ chung cư,3.0,2.0,25.0,3.0,2.0,Yes,21.0090461,105.8102365
2792,9,9,2023,đông anh,2.5,76.0,căn hộ chung cư,,,,,,Yes,21.112687538313498,105.8299974326172
2793,12,9,2023,,2.8,72.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes,10.876248,106.660338
2794,13,9,2023,hoài đức,2.84,67.0,căn hộ chung cư,21.0,2.0,,2.0,1.0,Yes,21.028546022836245,105.72196073570635
2795,14,9,2023,,4.15,90.0,căn hộ chung cư,,,,3.0,,Yes,10.876248,106.660338
2796,20,9,2023,,1.75,43.0,căn hộ chung cư,10.0,1.0,,1.0,1.0,Yes,10.8019128,106.7647475
2797,22,9,2023,thanh trì,3.1,127.0,căn hộ chung cư,,3.0,12.5,4.0,1.0,Yes,20.9360405,105.8486553
2798,18,9,2023,,1.85,45.0,căn hộ chung cư,1.0,1.0,,1.0,1.0,Yes,10.8019128,106.7647475
2799,23,9,2023,hoàng mai,3.1,86.0,căn hộ chung cư,,2.0,7.0,2.0,1.0,Yes,20.990232120596282,105.86815484075318
2800,22,9,2023,,3.5,96.0,căn hộ chung cư,,2.0,10.0,3.0,1.0,Yes,21.0221606,105.771796
2801,24,9,2023,cầu giấy,5.5,120.0,căn hộ chung cư,28.0,2.0,,3.0,1.0,Yes,10.8019128,106.7647475
2802,26,9,2023,cầu giấy,5.5,120.0,căn hộ chung cư,28.0,2.0,,3.0,1.0,Yes,10.8019128,106.7647475
2803,26,9,2023,cầu giấy,6.1,113.0,căn hộ chung cư,28.0,2.0,,3.0,1.0,Yes,10.8019128,106.7647475
2804,26,9,2023,,4.0,153.0,căn hộ chung cư,18.0,2.0,,3.0,1.0,Yes,10.8019128,106.7647475
2805,26,9,2023,,1.85,45.0,căn hộ chung cư,1.0,1.0,,1.0,1.0,Yes,10.8019128,106.7647475
2806,27,9,2023,thanh xuân,6.0,122.0,căn hộ chung cư,,,,,,Yes,20.9959212,105.8040796
2807,23,8,2023,long biên,2.4,66.0,căn hộ chung cư,,,,,,Not provided,10.876248,106.660338
2808,24,8,2023,gia lâm,4.58,75.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes,10.876248,106.660338
2809,24,8,2023,long biên,4.4,106.0,căn hộ chung cư,,,,,,Not provided,10.876248,106.660338
2810,24,8,2023,,0.5,80.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes,21.0121053,105.7604362
2811,25,8,2023,ba đình,16.0,125.0,căn hộ chung cư,,,,3.0,1.0,Not provided,10.876248,106.660338
2812,26,8,2023,,4.68,35.0,căn hộ chung cư,5.0,9.0,3.0,9.0,,Yes,10.876248,106.660338
2813,25,8,2023,,3.2,122.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes,10.876248,106.660338
2814,29,8,2023,hai bà trưng,3.55,36.0,căn hộ chung cư,,,,,,Yes,21.0006293,105.8538344
2815,28,8,2023,long biên,3.6,99.0,căn hộ chung cư,,,,,,Not provided,10.876248,106.660338
2816,2,9,2023,thanh oai,1.37,65.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes,10.876248,106.660338
2817,31,8,2023,long biên,3.9,97.0,căn hộ chung cư,,,,,,Not provided,21.0186765,105.884813
2818,2,9,2023,thanh oai,1.15,76.0,căn hộ chung cư,,1.0,,2.0,1.0,Yes,10.876248,106.660338
2819,2,9,2023,thanh oai,1.37,65.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes,10.876248,106.660338
2820,3,9,2023,hà đông,1.37,6565.0,căn hộ chung cư,,2.0,,2.0,,Yes,10.876248,106.660338
2821,5,9,2023,cầu giấy,3.9,75.0,căn hộ chung cư,17.0,1.0,,2.0,1.0,Yes,10.8019128,106.7647475
2822,5,9,2023,hà đông,1.37,65.0,căn hộ chung cư,,2.0,,2.0,1.0,Not provided,10.876248,106.660338
2823,5,9,2023,hai bà trưng,5.7,107.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes,20.998116,105.8668634
2824,5,9,2023,long biên,3.8,152.0,căn hộ chung cư,,,,,,Not provided,10.876248,106.660338
2825,5,9,2023,hà đông,1.68,72.0,căn hộ chung cư,8.0,2.0,,2.0,,Yes,10.876248,106.660338
2826,31,7,2023,cầu giấy,4.5,77.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes,21.0347067,105.7923394
