price,price_per_area,land_area,floor_area,type,bedrooms,bathrooms,address,direction,floor,law_doc,furniture,entrance,project,post_date,id,Ban công,Sân vườn,Chỗ đậu xe hơi,Nuôi thú cưng,Phòng cho giúp việc,Phòng giải trí,Quầy minibar,Tầng hầm,Góc làm việc,Nhà kho,Gym,Hồ bơi riêng,Giếng trời
5.91,113.58,52.0,50.0,Nhà phố,4,5,"Huỳnh Tấn Phát, Phú Xuân, Nhà Bè",Đông Bắc,3,0,2,KXĐ,KXĐ,2023-04-24,TNB141735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.79,72.88,52.0,46.2,Nhà phố,2,2,"Hưng Phú, Phường 8, Quận 8",Đông Nam,2,0,0,3m,KXĐ,2023-04-28,T08136263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.5,45.89,316.0,200.0,Nhà phố,3,3,"Nguyễn Bình, Nhơn Đức, Nhà Bè",Đông Nam,1,2,2,KXĐ,KXĐ,2023-05-04,TNB139876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,163.64,22.0,44.0,Nhà phố,1,1,"Âu Cơ, Phường 10, Tân Bình",Tây Bắc,2,0,2,KXĐ,KXĐ,2023-05-04,TTB120403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.35,130.56,18.0,38.0,Nhà phố,2,2,"Nguyễn Tất Thành, Phường 18, Quận 4",Đông Nam,2,0,0,6m,KXĐ,2023-05-09,T04102300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,77.78,45.0,130.0,Nhà phố,3,3,"Đông Hưng Thuận 31, Tân Hưng Thuận, Quận 12",Đông,2,0,0,3m,KXĐ,2023-04-28,T12118762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.5,205.36,56.0,177.5,Nhà phố,5,5,"Nguyễn Thượng Hiền, Phường 6, Bình Thạnh",Tây,5,0,2,KXĐ,KXĐ,2023-05-22,TBT160638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,206.9,29.4,54.1,Nhà phố,2,2,"Cao Thắng, Phường 12, Quận 10",Nam,2,0,0,2.8m,KXĐ,2023-08-20,T10101406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.0,925.37,67.2,352.8,Nhà phố,5,5,"Đặng Thị Nhu, Nguyễn Thái Bình, Quận 1",Đông Bắc,5,0,1,KXĐ,KXĐ,2023-08-21,T01104445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,127.91,86.6,211.7,Nhà phố,4,3,"số 1, Phường 11, Gò Vấp",Bắc,3,0,2,KXĐ,KXĐ,2023-08-21,TGV186890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
