,ID,Quarter,Year,District,Price (billion VND),Area (m2),Property Type,Floors,Bathrooms,Entrance (m2),Bedrooms,Living Rooms,Law Document
7349,10469,4,2023,hoai duc,2.3,33.0,nha rieng,5.0,3.0,3.0,4.0,1.0,Giay đo
7350,10470,4,2023,south tu liem,2.9,34.0,nha rieng,5.0,4.0,3.0,4.0,1.0,Giay đo
7351,10471,4,2023,south tu liem,2.75,35.0,nha rieng,5.0,3.0,3.0,4.0,,Giay đo
7352,10472,4,2023,south tu liem,2.65,35.0,nha rieng,5.0,4.0,3.0,4.0,1.0,Giay đo
7353,10473,4,2023,south tu liem,2.8,36.0,nha rieng,5.0,4.0,4.0,4.0,1.0,Giay đo
7354,10474,4,2023,south tu liem,2.0,35.0,nha rieng,1.0,1.0,3.0,2.0,,Giay đo
7355,10475,4,2023,hai ba trung,1.95,65.0,nha rieng,3.0,,,2.0,1.0,So hong
7356,10476,4,2023,tay ho,9.9,46.0,nha rieng,,,,,,not provided
7357,10477,4,2023,thanh xuan,248.0,100.0,nha rieng,8.0,8.0,6.0,,,So hong
7358,10478,4,2023,north tu liem,8.6,45.0,nha rieng,,,,,,not provided
7359,10479,4,2023,dong da,11.9,45.0,nha rieng,6.0,5.0,7.0,3.0,1.0,Giay đo
7360,10480,4,2023,thanh xuan,2.28,70.0,nha rieng,,,,3.0,1.0,So hong
7361,10481,4,2023,cau giay,13.5,60.0,nha rieng,,,,,,not provided
7362,10482,4,2023,tay ho,5.7,45.0,nha rieng,5.0,5.0,,4.0,1.0,Giay đo
7363,10483,4,2023,dong da,6.6,62.0,nha rieng,4.0,4.0,2.0,4.0,1.0,So hong
7364,10485,4,2023,dong da,3.2,100.0,nha rieng,2.0,,10.0,2.0,1.0,So hong
7365,10486,4,2023,ba dinh,38.0,118.0,nha rieng,7.0,11.0,6.0,11.0,1.0,So hong
7366,10487,4,2023,dong da,2.0,20.0,nha rieng,4.0,,,3.0,1.0,So hong
7367,10489,4,2023,ba dinh,22.0,100.0,nha rieng,6.0,6.0,10.0,6.0,1.0,Giay đo
7368,10490,4,2023,dong da,2.5,80.0,nha rieng,3.0,2.0,5.0,3.0,1.0,So hong
7369,10491,4,2023,dong da,2.4,60.0,nha rieng,2.0,,5.0,2.0,1.0,So hong
7370,10492,4,2023,tay ho,11.2,72.0,nha rieng,,,,,,not provided
7371,10493,4,2023,hai ba trung,1.8,60.0,nha rieng,2.0,,5.0,2.0,1.0,So hong
7372,10494,4,2023,ba dinh,6.5,50.0,nha rieng,4.0,4.0,,4.0,1.0,Giay đo
7373,10495,4,2023,thanh xuan,7.3,135.0,nha rieng,,2.0,10.0,3.0,1.0,So hong
7374,10496,4,2023,ba dinh,19.0,55.0,nha rieng,3.0,2.0,8.0,3.0,1.0,So hong
7375,10497,3,2023,ba dinh,2.95,20.0,nha rieng,4.0,2.0,3.0,2.0,1.0,Giay to hop le
7376,10498,3,2023,ba dinh,14.0,60.0,nha rieng,4.0,4.0,10.0,4.0,1.0,Giay đo
7377,10499,3,2023,ba dinh,5.6,57.0,nha rieng,4.0,3.0,3.0,3.0,1.0,Giay to hop le
7378,10500,3,2023,ba dinh,5.0,35.0,nha rieng,5.0,3.0,3.0,3.0,1.0,Giay to hop le
7379,10501,3,2023,ba dinh,3.5,33.0,nha rieng,5.0,3.0,3.0,2.0,1.0,Giay to hop le
7380,10503,3,2023,hai ba trung,11.0,57.0,nha rieng,4.0,3.0,5.0,4.0,1.0,So hong
7381,10504,3,2023,long bien,5.9,37.0,nha rieng,6.0,4.0,4.0,4.0,,So hong
7382,10505,3,2023,long bien,6.0,69.0,nha rieng,4.0,4.0,5.0,4.0,1.0,Giay đo
7383,10507,3,2023,tay ho,32.0,99.0,nha rieng,7.0,7.0,7.0,7.0,7.0,So hong
7384,10508,3,2023,dong da,2.4,80.0,nha rieng,3.0,2.0,,3.0,1.0,So hong
7385,10509,3,2023,long bien,6.0,33.0,nha rieng,6.0,4.0,4.0,4.0,2.0,Giay to hop le
7386,10510,3,2023,gia lam,10.889,75.1,nha rieng,3.0,,12.5,,,So hong
7387,10511,3,2023,dong da,2.35,55.0,nha rieng,2.0,1.0,5.0,2.0,1.0,So hong
7388,10512,3,2023,dong da,1.75,55.0,nha rieng,3.0,1.0,5.0,2.0,1.0,So hong
7389,10513,4,2023,dong da,2.36,55.0,nha rieng,2.0,1.0,,2.0,1.0,So hong
7390,10514,4,2023,ba dinh,11.3,55.0,nha rieng,7.0,6.0,,6.0,1.0,Giay đo
7391,10515,3,2023,dong da,1.7,55.0,nha rieng,3.0,1.0,,2.0,1.0,So hong
7392,10516,3,2023,ba dinh,10.98,48.0,nha rieng,,,,,,not provided
7393,10518,3,2023,hoang mai,24.6,145.0,nha rieng,8.0,,12.5,,,Giay đo
7394,10519,3,2023,long bien,3.6,40.0,nha rieng,1.0,1.0,4.0,2.0,,So hong
7395,10520,3,2023,long bien,9.8,102.0,nha rieng,5.0,,6.0,,,So hong
7396,10521,3,2023,long bien,5.4,52.0,nha rieng,4.0,3.0,6.0,3.0,1.0,So hong
7397,10522,3,2023,long bien,5.5,50.0,nha rieng,4.0,3.0,3.0,3.0,1.0,So hong
7398,10523,3,2023,south tu liem,16.0,72.0,nha rieng,8.0,,,14.0,,So hong
7399,10525,3,2023,thanh xuan,9.8,58.0,nha rieng,8.0,,5.0,12.0,,So hong
7400,10526,3,2023,south tu liem,16.0,72.0,nha rieng,8.0,,6.0,14.0,,So hong
7401,10527,3,2023,cau giay,12.8,55.0,nha rieng,5.0,5.0,7.0,5.0,1.0,Giay đo
7402,10528,3,2023,hoang mai,2.35,82.0,nha rieng,,2.0,12.5,3.0,1.0,So hong
